题目,第一作者,第二作者,通讯作者,所有作者（以英文逗号隔开）,期刊,JCR分区，选取小分区中最高即可,期刊影响因子,volume，没有填-,number，没有填-,页码,年份,出版商,原文链接,pdf全称（pdf中空格替换为英文下划线_）,文章首页图片名称(大小：636×900像素，保存为pdf全称.jpg格式),摘要（复制粘贴注意从pdf粘贴出来的格式）,
Tuning the plasticity of Ni-Mo solid solution in Ni-based superalloys by ab initio calculations,Zhao Wenyue,Li Wei,Vitos Levente,"Zhao Wenyue , Li Wei , Sun Zhimei  , Gong Shengkai  , Vitos Levente",Materials and Design,Q3,4.295,124,_,100-107,2017,_,http://dx.doi.org/10.1016/j.matdes.2017.03.057,2017MD-zhaowenyue,2017MD-zhaowenyue,"The generalized stacking fault energies of face centered cubic Ni-Mo solid solutions are calculated using the exact muffin-tin orbital method in combination with coherent potential approximation. The alloying of Mo in Ni is found to decrease the intrinsic stacking fault energy of the solid solution from 150 mJ/m2 (pure Ni) to 50 mJ/m2 (17.5 at.% Mo) almost linearly. At the same time, the unstable stacking fault energy (the unstable twin fault energy) of the Ni-based solid solution increases (decreases) in a small extent with increasing Mo concentration. Three different twinnability measures are adopted and all indicate a substantially enhanced twinning mechanism in Ni-Mo solid solutions with increasing concentration of Mo. The weaker Ni-Ni bonding at high Mo concentrations is considered to be the main mechanism behind the disclosed phenomena. Segregation of Mo to the fault plane is proved to have strong effect on the generalized stacking fault energy of Ni-based solid solution.",
Computational mining of the pressure effect on thermodynamic and thermoelectric properties of cubic Ca2 Si,Cuilian Wen,Qiuhan Xie,Zhimei Sun,"Cuilian Wen, Qiuhan Xie, Rui Xiong, Baisheng Sa, Naihua Miao, Jian Zhou, Bo Wu and Zhimei Sun",EPL,Q3,1.918,123,_,67003,2018,IOP Publishing Ltd.,https://iopscience.iop.org/article/10.1209/0295-5075/123/67003,2018_EPL_Wen_123_67003,2018_EPL_Wen_123_67004,"Adjusting external pressure has been emerging as one of the most powerful method to unravel the physical and chemical origin of the materials. In this work, we have investigated the pressure effect on thermodynamic and thermoelectric properties of the cubic Fm3m phase Ca2Si systematically based on density functional theory within quasi-harmonic approximation and semiclassical Boltzmann transport theory. Our results not only shed light on the origin of the stability of cubic Ca2Si at all the pressures but also provide thermodynamic and thermoelectric maps for cubic Ca2Si under various external pressures. By combining the Seebeck coefficient decreasing and electronic conductivity increasing, the pressure independent power factor of cubic Ca2Si have been highlighted as well. We believe that our findings will facilitate the pressure related applications of Ca2Si in extensive fields.",
"Mapping the relationship among composition, stacking fault energy and ductility in Nb alloys: A first-principles study",Songxin Shi,Linggang Zhu,Rajeev Ahuja,"Songxin Shi  , Linggang Zhu  , Hu Zhang  , Zhimei Sun  , Rajeev Ahuja",Acta Materialia,Q2,5.465,144,_,853-861,2018,Elsevier Ltd,https://doi.org/10.1016/j.actamat.2017.11.029,2018actamater-shisongxin,2018actamater-shisongxin,"Transition metals (TMs) are extensively used to improve the mechanical properties of niobium based alloy, one of the most promising high-temperature materials. Yet the microscopic mechanism of the alloying effects of these transition metals on the mechanical properties is unclear. In this study, we have mapped out the composition-SFE-ductility relationship for TM-alloyed Nb systems by comprehensively investigating the unstable stacking fault energies (SFEs), γus, and the ductility in binary and ternary Nb alloys using the first-principles calculations. It is found that the valence electron concentration can be used as the key descriptor to evaluate the SFE of Nb matrix, which is applicable to both binary and ternary alloys. The microscopic mechanism arises from the electron redistribution in the local stacking fault area. Moreover, for ternary Nb-Ti based alloys, the interaction between Ti and the third alloying elements has negligible effect on the SFE of the systems, and the valence-electron rule still dominates. The alloying effects on the ductility are further illustrated based on the ratio between surface energies and SFEs. The composition-SFE-ductility map obtained by our theoretical calculations is calibrated by available experimental data.",
Electronic structure of strongly reduced ð111Þ surface of monoclinic HfO2,YingXing Cheng,Linggang Zhu,Zhimei Sun,"YingXing Cheng, Linggang Zhu , Yile Ying , Jian Zhou , Zhimei Sun",Applied Surface Science,Q1,3.659,447,_,618-626,2018,Elsevier,https://doi.org/10.1016/j.apsusc.2018.03.234,2018appsurfsci-chengyingxing,2018appsurfsci-chengyingxing,"Material surface is playing an increasingly important role in electronic devices as their size down to nanoscale. Here, by first-principles calculations we studied the surface oxygen-vacancies (Vos) induced electronic-structure variation of HfO2, in order to explore its potential applications in surface-controlled electronic devices. Firstly, it is found that single Vo tends to segregate onto the surface and attracts each other as they form pairs, making the formation of vacancies-contained functional surface possible. Then extensive Vo-chains whose formation/rupture can represent the high/low conductivity state are constructed. The electronic states induced by the Vos remain localized in the band-gap region for most of the Vo-chains studied here. A transition to a metallic conductance is found in metastable Vo-chain with formation energy increased by 0.25 eV per Vo. Moreover, we highlight the significance of the Hubbard U correction for density functional theory when studying the electronic-structure based conductance in the oxides. By comprehensive calculations, we find a conductivity-stability dilemma of the Vo-chains, providing guideline for understanding and designing the electronic devices based on HfO2 surface.",
Strengthening effects of alloying elements W and Re on Ni3Al: A firstprinciples study,Wei Gong,Wenyue Zhao,Shengkai Gong,"Wei Gong , Wenyue Zhao , Naihua Miao, Jian Zhou , Zhimei Sun , Shusuo Li  , Shengkai Gong",Computational Materials Science,Q3,2.303,144,_,23-31,2018,Elsevier,https://doi.org/10.1016/j.commatsci.2017.11.047,2018cms-gongwei,2018cms-gongwei,"The structural stabilities, mechanical and thermodynamic properties of pure and alloyed Ni3Al systems have been investigated systematically, based on density functional theory and Debye-Grüneisen model. Close attentions are paid to alloying elements W and Re by studying the strengthening effects of singlealloying element W, Re, Mo, Ta, Ru and co-alloying elements WRe, WMo, ReMo, WTa, ReTa, WRu, ReRu, which substitute the Al site and the nearest neighboring Al-Al sites, respectively. The calculated formation energies and elastic constants show that all the alloyed Ni3Al are thermodynamically and mechanically stable. It is found that alloying elements W has similar effects on the mechanical and thermodynamic properties of Ni3Al to those of Re, which suggests a possibility of replacing Re with W in Ni-based single crystal superalloys. In addition, co-alloyings with different elements have no distinct synergistic enhancement but simple combined effect on the mechanical properties of Ni3Al. The enhanced chemical bondings between the alloying atoms W/Re and the neighboring host atoms Ni are considered to be the main strengthening mechanisms in W/Re alloyed Ni3Al systems.",
"Structural stability and mechanical properties of Co3(Al, M) (M = Ti, V, Cr, Zr, Nb, Mo, Hf, Ta, W) compounds",Min Jin, Naihua Miao,Zhimei Sun,"Min Jin , Naihua Miao , Wenyue Zhao , Jian Zhou , Qiang Du  , Zhimei Sun",Computational Materials Science,Q3,2.303,148,_,27-37,2018,Elsevier,https://doi.org/10.1016/j.commatsci.2018.02.015,2018cms-jinmin,2018cms-jinmin,"The structural stability and mechanical properties of Co3(Al, M) (M = Ti, V, Cr, Zr, Nb, Mo, Hf, Ta, W) compounds with cubic L12-type and hexagonal D019-type structures have been investigated by first-principles calculations. Calculated temperature-dependent formation energies indicate that all the L12-type Co3(Al, M) can be generated at high temperature and show better stability than their D019-type according to the quasi-harmonic Debye model. Furthermore, we reveal that the element Al plays a major role in promoting L12 structure more stable than D019 structure for the Co3(Al, W), and the element W reduces metastability as well as improves the strength of L12. We also find that most of the L12-Co3(Al, M) compounds possess good mechanical stability and ductility, which are verified by the elastic constants and Poisson’s ratio. More importantly, the element Cr can be used to replace the W of L12-Co3(Al, W) to increase the strength to weight ratio as the L12-Co3(Al, Cr) possesses comparable elastic properties to the L12-Co3(Al, W), including the Young’s and shear moduli. It is also observed that all the L12-Co3(Al, M) compounds show a high degree of elastic anisotropy. The electron localized function and suggests that the rise of the Young’s moduli in Co3(Al, M), with the alloying element M changing from group IVB to VIB, is mainly attributed by the increasing bonding strength of the nearby transition-metal atoms. Our results will be useful for the study of thermodynamic and mechanical properties as well as the design of Co-based high-temperature alloys.",
Synergistic effect of Ni and Fe in Fe-doped NiS2 counter electrode for dye-sensitized solar cells: Experimental and DFT studies,Jinlong Zheng,Zhonglu Guo,Zhimei Sun,"Jinlong Zheng  , Zhonglu Guo , Wei Zhou , Rongzun Zhang , Junxiang Wang , Yuzun Fan , Rui Zhang , Zhimei Sun",Electrochimica Acta,Q2,4.906,284,_,24-29,2018,Elsevier Ltd,https://doi.org/10.1016/j.electacta.2018.07.138,2018electrochemacta.zhengjinlong,2018electrochemacta.zhengjinlong,"Uniform Fe-doped NiS2 octahedrons with the size of ~250 nm have been prepared by a hydrothermal method. The as-synthesized Fe-doped NiS2 octahedrons exhibit excellent electro-catalytic activity for the reduction of triiodide to iodide in dye-sensitized solar cells (DSCs). The DSC with Fe-doped NiS2 octahedrons CE demonstrates a power conversion efficiency (PCE) of 8.01%, higher than those of NiS2 CE (6.90%) and FeS2 CE (4.13%). The enhanced efficiency is attributed to the synergistic effect between Ni and Fe ions in Fe-doped NiS2 octahedrons. Density functional theory (DFT) calculations reveal the adsorption energy of I (EI ad) increases from 0.14 eV (NiS2) to 0.65 eV (Fe-doped NiS2) after Fe doping, leading to an enhanced solar cell performance. This study indicates that the Fe-doped NiS2 octahedron is a promising substitute to develop non-Pt CEs in DSCs.",
New gallium chalcogenides/arsenene van der Waals heterostructures promising for photocatalytic water splitting,Qiong Peng,Zhonglu Guo,Zhimei Sun,"Qiong Peng, Zhonglu Guo, Baisheng Sa , Jian Zhou, Zhimei Sun",International Journal of Hydrogen Energy,Q3,3.672,43,_,15995-16004,2018,Elsevier Ltd,https://doi.org/10.1016/j.ijhydene.2018.07.008,2018IJHE-彭琼,2018IJHE-彭琼,"Single two-dimensional (2D) GaS and GaSe were studied as photocatalysts, yet the overall performance is limited by the low optical absorption and inefficient separation of photogenerated electron-hole pairs. Constructing van der Waals (vdW) heterostructures is an ideal way to overcome the deficiency of single 2D gallium chalcogenides. This work unravels that gallium chalcogenides/arsenene (GaX/As, X ¼ S, Se) are the promising vdW heterostructures that show significantly improved photocatalytic performance by means of first-principles calculations. The GaX/As heterostructures possess suitable band alignment and bandgap satisfying the requirements for photocatalysts. Contrary to the pristine monolayers, the Se0.5GaS0.5/As and S0.5GaSe0.5/As heterostructures undergo indirect-direct bandgap transition by varying the interlayer distances; moreover, they exhibit high carrier mobility (~2000 cm2 V1 s1 for electrons) and transport anisotropy, efficiently facilitating the migration and separation of photogenerated electron-hole pairs. Finally, all GaX/As heterostructures show significantly enhanced optical absorption beyond the isolated GaX monolayers under visible-light irradiation. These extraordinary properties render GaX/As heterostructures as competitive photocatalysts for water splitting to produce hydrogen.",
Strengthening mechanism of aluminum on elastic properties of NbVTiZr high-entropy alloys,Shi Qiu,Naihua Miao,Zhimei Sun,"Shi Qiu, Naihua Miao, Jian Zhou, Zhonglu Guo , Zhimei Sun",Intermetallics,Q3,3.034,92,_,7—14,2018,Elsevier Ltd,http://dx.doi.org/10.1016/j.intermet.2017.09.003,2018intermetallics-qiushi,2018intermetallics-qiushi,"Understanding of strengthening is significant to improve the mechanical properties of high-entropy alloys (HEAs). Taking Al element as a prototype, we show that the Al-induced strengthening phenomenon in NbVTiZrAl HEAs cannot be explained by elastic interaction induced by lattice and modulus effects on the basis of our ab initio calculations. From the calculated mechanical properties and chemical bonding of NbVTiZrAlx HEAs, we highlight that the Al-induced strengthening is mainly due to the strong angular characteristic bonds between the introduced aluminum and transition metal atoms, but rather than the mismatch of atomic size and modulus between Al and the other components in NbVTiZrAlx alloys. Our findings provide new insight for the design and improvement of HEAs and complementary information to the alloying effects.",
2D Intrinsic Ferromagnets from van der Waals Antiferromagnets,Naihua Miao,Bin Xu,Zhimei Sun,"Naihua Miao,Bin Xu,Linggang Zhu,Jian Zhou,Zhimei Sun",Journal Of The American Chemical Society ,Q1,13.751,140,_,2417-2420,2018,American Chemical Society,https://pubs.acs.org/action/showCitFormats?doi=10.1021/jacs.7b12976,2018-jacs-miaonaihua-jacs.7b12976,2018-jacs-miaonaihua-jacs.7b12977,"Intrinsically ferromagnetic 2D semiconductors are essential and highly sought for nanoscale spintronics, but they can only be obtained from ferromagnetic bulk crystals, while the possibility to create 2D intrinsic ferromagnets from bulk antiferromagnets remains unknown. Herein on the basis of ab initio calculations, we demonstrate this feasibility with the discovery of intrinsic ferromagnetism in an emerging class of single-layer 2D semiconductors CrOX (CrOCl and CrOBr monolayers), which show robust ferromagnetic ordering, large spin polarization, and high Curie temperature. These 2D crystals promise great dynamical and thermal stabilities as well as easy experimental fabrication from their bulk antiferromagnets. The Curie temperature of 2D CrOCl is 160 K, which exceeds the record (155 K) of the most-studied dilute magnetic GaMnAs materials, and could be further enhanced by appropriate strains. Our study offers an alternative promising way to create 2D intrinsic ferromagnets from their antiferromagnetic bulk counterparts and also renders 2D CrOX monolayers great platform for future spintronics.",
Insight into the role of W in amorphous GeTe for phase-change memory,Linchuan Zhang, Naihua Miao,Zhimei Sun,"Linchuan Zhang , Naihua Miao, Jian Zhou, Jinxiao Mi, Zhimei Sun",Journal of Alloys and Compounds,Q1,3.309,738,_,270-276,2018,Elsevier BV,https://doi.org/10.1016/j.jallcom.2017.12.212,2018jac-zhanglinchuan,2018jac-zhanglinchuan,"GeTe is a fundamental material for phase-change memory, one of the most promising next-generation data storage devices. Doping GeTe with W has achieved both high writing (crystallization) speed at elevated temperature and long data retention (amorphous stability) at room temperature, which overcame a key challenge for phase-change memory. Yet the effect of W on amorphous GeTe remains ambiguous at atomic and electronic scales. By means of ab initio calculations and molecular dynamics (AIMD) simulations, we shed light on this issue and reveal that W would agglomerate during the meltquench process and the chemically bonded W cluster plays a key role in tuning the overall phase-change performances of GeTe. Furthermore, the strong W-Ge and W-Te bonds show vital impact on the local structure and crystallization of amorphous GeTe as well. The present work provides valuable clues for advancing the understanding of transition metals doping effects on amorphous phase-change materials, and hence promotes the development of novel phase-change alloys with improved information storage performance.",
Reversible formation-dissociation of polaron in rutile driven by electric field,Linggang Zhu,Jian Zhou,Zhimei Sun,"Linggang Zhu, Jian Zhou , Zhimei Sun",Materials Research Letters,Q2,5.467,6,_,165-170,2018,Elsevier BV,https://doi.org/10.1080/21663831.2018.1426061,2018-materreslett-zhulinggang-Reversible formation dissociation of polaron in rutile driven by electric field,2018-materreslett-zhulinggang-Reversible formation dissociation of polaron in rutile driven by electric field,"Density functional theory with Hubbard U correction is employed to study the polaron in rutile under external electric fields. It is found that electric-field-induced displacements of the ions enhance the sampling of the polaron configurations, which is helpful to find the most stable structure among local minima. More importantly, we demonstrate that with increasing electric field, the polaron may vanish, i.e. the excess electron can dissociate from the bounded Ti3+, and this process is reversible with the opposite electric field. The present findings shed light on more complex mechanisms for the polaron-related conductivity in oxides and corresponding devices.",
High thermoelectric performance of few-quintuple Sb2Te3 nanofilms,Zhen Li, Naihua Miao,Huibin Xu,"Zhen Li , Naihua Miao, Jian Zhoua, Zhimei Suna, Zikui Liu, Huibin Xu",Nano Energy,Q1,12.339,43,_,285-290,2018,Elsevier BV,https://doi.org/10.1016/j.nanoen.2017.11.043 ,2018nanoenergy-lizhen,2018nanoenergy-lizhen,"Antimony telluride (Sb2Te3) has a very low ZT value at room temperature, even though the alloys of Bi2Te3 and Sb2Te3 are the most widely used thermoelectric materials. Taking advantage of nano-structures and topological insulators (TIs), we report that high ZT values of larger than 2 can be achieved in one quintuple-layer (QL, ZT ≥ 2.1) and 4 QLs (ZT ≥ 2.2) of Sb2Te3 at room temperature, while the ZT value for bulk is around 0.5. For 1 QL, Seebeck coefficient has been greatly enhanced due to the increase in the number of band extrema by virtue of the twelvefold valley degeneracy from surface states. For 4 QLs, the high ZT value is attributed to the much longer surface relaxation time associated with the robust nature of the topological surface states. Moreover, the ZT values and the TI character of few-quintuple Sb2Te3 nanofilms demonstrate thickness(layer)-dependent behaviors. Our results offer significant clues for future applications and investigations of Sb2Te3-related quintuple layers as promising p-type thermoelectric materials and quasi-2D topological insulators for nanoelectronics.",
Coincident modulation of lattice and electron thermal transport performance in MXenes via surface functionalization,Zhonglu Guo,Naihua Miao,Zhimei Sun,"Zhonglu Guo,  Naihua Miao, Jian Zhou,  Yuanchun Pan , Zhimei Sun",Physical Chemistry Chemical Physics,Q2,4.159,20,_,19689-19697,2018,Royal Society of Chemistry,https://pubs.rsc.org/en/content/articlelanding/2018/CP/C8CP02564A#!divAbstract,2018pccp-guozhonglu,2018pccp-guozhonglu,"Efficiently modulating the thermal transport performance of materials including MXenes is highly desired as heat transfer is critical in a wide range of applications. However, the design principles for MXenes to achieve optimized thermal conductivity are not yet understood. Herein we highlight that the thermal conductivity modulation can be achieved by altering the surface fuctionalization, which also exhibits unexpected coincident effects on both the lattice and electron contribution to thermal transport. Our results indicate that the functionalization of O significantly decreases both the lattice and electron thermal conductivities of Ti2C MXenes because O will induce not only a shorter phonon relaxation time but also a metal–semiconductor transition, showing great potential for applications including thermoelectrics. In contrast to O, after being functionalized by F or OH both the lattice and electron thermal conductivities are increased, which will improve heat dissipation in electronics and batteries. Our findings will provide a fundamental guideline to the design of MXene-based devices with optimal thermal transport performance.",
Boosting_Upconversion_Photoluminescence_and_Multielectrical_Properties_via_Er-Doping-Modulated_Vacancy_Control_in_Ba0.85Ca0.15Ti0.9Zr0.1O3,Chunwen Liu,Quanlin Wang,"Xiao Wu,Baisheng Sa","Chunwen Liu,Quanlin Wang,Xiao Wu,Baisheng Sa,Hailing Sun,Laihui Luo,Cong Lin,Xinghua Zheng,Tengfei Lin,Zhimei Sun",ACS OMEGA,Q2,2.584,4,6,11004-11013,2019,AMER CHEMICAL SOC,https://pubs.acs.org/doi/full/10.1021/acsomega.9b01391,2019acsomega.sabaisheng.pdf,2019acsomega.sabaisheng.jpg,"he lead-free 0.5(Ba0.7Ca0.3)TiO -0.5Ba(Ti0.8Zr0.2)O-3 (BCTZ) ceramics with Er doping have shown good upconversion photoluminescence (PL) and desirable optical temperature sensing properties. To bridge a relationship between the structure/intrinsic defects and properties of rare-earth-doped ferroelectrics, we designed and fabricated a series of BCTZ ceramics doped with 1 mol % Er3+ by combining the first-principles calculations and experimental measurements. Theoretically, we discovered that Er can occupy both A sites (i.e., replacing Ba or Ca) and B sites (i.e., replacing Ti or Zr) in the BCTZ lattice and highlighted that the Erdoping-induced vacancy concentration decreases for both the oxygen vacancies (V-o) and cation vacancies (VD. Experimentally, the enhanced PL performance and the dielectric, ferroelectric, and piezoelectric properties of the Er-doped BCTZ ceramics have been observed. Finally, the physical origin of Er-induced property enhancement in BCTZ has been elaborated according to the charge density and chemical bonding analysis. These results open up a path to investigate the effects of site substitution and vacancies on optoelectronic properties of multifunctional rare-earth-doped ferroelectrics.",
Polarity-dependent_resistance_switching_in_crystalline_Ge1Sb4Te7_film,"Bin Liu,Shuwei Hu",Jian Zhou,Zhimei Sun,"Bin Liu,Shuwei Hu,Jian Zhou,Zhimei Sun",AIP ADVANCES ,Q3,1.579,9,3,-,2019,AMER INST PHYSICS,https://doi.org/10.1063/1.5092633,2019AIP_ADV-liubin.pdf,2019AIP_ADV-liubin.jpg,"Phase-change memory (PCM) utilizes the fast reversible phase transition between crystalline and amorphous chalcogenide phase-change materials to achieve the data storage. The rather large density difference between crystalline and amorphous phases will induce device failure with repeated switching. Further, the melting-quenching process induced amorphous-crystalline phase-change needs high energy consumption. In this work, reversible resistance switching is observed in crystalline Ge1Sb4Te7 ribbons driven by voltage polarity, without amorphous-crystalline phase-change. Consequently, the large density variation and the high energy consumption are avoided, which overcomes those two restrictions of PCM. Moreover, on the basis of ab initio calculations, the underlying mechanism is further analyzed and it is concluded that this switching is induced by the reversible swapping of antimony between its lattice site and the center of the Te-Te van der Waals bilayers.",
Vacancy-mediated_lithium_adsorption_and_diffusion_on_MXene,Hao Wu,Zhonglu Guo,"Jian Zhou,Zhimei Sun","Hao Wu,Zhonglu Guo,Jian Zhou,Zhimei Sun",APPLIED SURFACE SCIENCE,Q1,5.155,488,-, 578-585,2019,ELSEVIER SCIENCE BV,https://doi.org/10.1016/j.apsusc.2019.05.311,2019apsusc-wuhao.pdf,2019apsusc-wuhao.jpg,"Two-dimensional (2D) transition metal carbides and/or nitrides (MXenes), promising electrode materials for Li-ion batteries (LIBs), have recently been confirmed the formation of vacancies during etching process. However, the specific influence of vacancies on the performance of MXene-based LIBs and the corresponding mechanism still remain open issues. Herein, we highlighted that compared with other well-studied 2D materials (such as graphene, 2D MoS2), MXene are more likely to contain vacancies with defect formation energies as low as 0.96 eV. The difference of vacancy formation energy for MXenes mainly originates from the variation of M-X bonding strengths. Furthermore, the vacancy defect will enhance the adsorption of Li in the region near the defect through acting as a potential trap, which may cause the first cycle irreversibility for lithiation/delithiation process in Mo2C MXene LIBs. Nevertheless, Li tends to migrate on defect-free surface of Mo2C MXene with energy barrier of 0.096-0.115 eV and thus this potential trap has a minor influence on the charge-discharge rate of Mo2C MXene LIBs. We believe that our findings provide not only some insights into the recent experimental results but also guidance for the preparation and practical application of MXene in LIBs.",
Interfacial_graphene_modulated_energetic_behavior_of_the_point-defect_at_the_Au/HfO2_interface,Linggang Zhu,Xuanyu Zhang,Zhimei Sun," Linggang Zhu,Xuanyu Zhang,Jian Zhou,Zhimei Sun",APPLIED SURFACE SCIENCE,Q1,5.155,489,-,608-613,2019,ELSEVIER,https://doi.org/10.1016/j.apsusc.2019.06.048,2019apsusc-zhulinggang.pdf,2019apsusc-zhulinggang.jpg,"Adding the two-dimensional (2D) material into the metal/oxide interface is a novel method to tune the property of the interface and the interface-controlled device. Compared to the widely studied influence of the interfacial 2D-material on the kinetic diffusion of the atom across the interface, the effect of the interfacial 2D layer on the energetic behavior of the point defect at the interface viewed at the electronic-/atomic-scale is less focused. In this work, the influence of graphene on the Au/HfO2 interface is studied using a first-principles calculation. It is found that graphene can eliminate the Au-induced insulator-metal-transition of the HfO2 layer at the interface, by screening the strong interaction between Au and HfO2. At the atomic scale, graphene significantly increases the formation energy of the oxygen vacancy and vacancy pair in HfO2 at the Au/HfO2 interface, making the interfacial HfO2-layer surface-like. Also graphene alleviates the valence-electron-number dependent segregation of the alloying elements Ag, Cu and Ta at the Au/HfO2 interface. The significant impact of graphene at the metal/oxide interface unraveled from the energetic point of view provides an alternative insight into the interface engineering of the electronic device such as the oxide-based resistive random access memory.",
Modulating_the_Schottky_barriers_in_MoS2/MXenes_heterostructures_via_surface_functionalization_and_electric_field,Qiong Peng,Chen Si,"Jian Zhou,Zhimei Sun","Qiong Peng,Chen Si,Jian Zhou,Zhimei Sun",APPLIED SURFACE SCIENCE,Q1,5.155,480,-,199-204,2019,ELSEVIER SCIENCE BV,https://doi.org/10.1016/j.apsusc.2019.02.249,2019APSUS-pengqiong.pdf,2019APSUS-pengqiong.jpg,"Controlling the Schottky barriers (SB) in semiconductor/metal heterostructures is greatly vital to improve the performance of field effect transistors. Yet the modulation mechanisms have not been well understood. In this work, on the basis of first-principles calculations, we have demonstrated that both surface functionalization and external electric fields (E-ext) play significant roles in modulating the contact types (n-type or p-type) and SB heights at the interface by using the contact between MoS2 and Nb2C-based MXenes as a case study. The results show that weak van der Waals (vdW) interactions dominate between the interlayer. Importantly, the n-type SB-free contact is available in OH-terminated Nb2C/MoS2 heterostructure and continuously controllable p-type SB is found in the MoS2/Nb2CO2 and MoS2/Nb2CF2 heterostructures under proper vertical Eext strength. We unraveled that the modulation of Schottky barrier originates from the tunable metal work function induced by functionalized termination and the variable interface potential step induced by external electric field. Our work provides important clues for contact engineering and improvement of the MoS2 device performance.",
Vacancy_effect_on_the_generalized_stacking_fault_energy_of_alloyed_gamma-Ni_system:_A_first-principles_study,Peng Hu,Wenyue Zhao,Wenyue Zhao,"Peng Hu,Wenyue Zhao,Zhimei Sun",COMPUTATIONAL MATERIALS SCIENCE,Q2,2.644,166,-,187-192,2019,ELSEVIER,https://doi.org/10.1016/j.commatsci.2019.05.009,2019cms-hupeng.pdf,2019cms-hupeng.jpg,"It is of great importance to explore alternative alloying elements to replace rhenium (Re) for the design of low-cost Ni-based single crystal (SC) superalloys. Due to the partitioning of Re to gamma matrix, the individual and the combined effects of the single (vacancy, Mo, W and Re) and solute-vacancy complex (Mo-Va, W-Va and Re-Va) defects on the plasticity of gamma-Ni have been studied by the first-principles calculations of generalized stacking fault energies (GSFE). It is found that a single vacancy and an alloying solute Mo/W/Re at the fault plane decreases the intrinsic stacking fault energy of Ni from 131 mJ/m(2) to 106 mJ/m(2) and similar to 97 mJ/m(2) respectively. Further reductions are made by the introduction of a solute-vacancy complex defect (similar to 80 mJ/m(2)). Furthermore, the unstable planar fault energies tuned by the Mo-Va and W-Va complex defects are almost identical, which are both slightly smaller than those by Re-Va. Finally, the calculated values of three twinnability measures elucidate that W and Mo provide similar enhancements in the twinning propensity of gamma-Ni to that by Re. This result suggests a possibility of partly replacing Re by Mo or W in Ni-based SC superalloys.",
Identifying_optimal_dopants_for_Sb2Te3_phase-change_material_by_high-throughput_ab_initio_calculations_with_experiments,Shuwei Hu,Bin Liu,Zhimei Sun,"Shuwei Hu,Bin Liu,Zhen Li,Jian Zhou,Zhimei Sun",COMPUTATIONAL MATERIALS SCIENCE,Q2,2.644,165,-,51-58,2019,ELSEVIER SCIENCE BV,https://doi.org/10.1016/j.commatsci.2019.04.028,2019cms-hushuwei.pdf,2019cms-hushuwei.jpg,"Doping is used to improve the overall performance of rhombohedral Sb2Te3 for the application in phase-change memory (PCM). However, it is difficult and laborious to obtain the optimal dopants using the time-consuming trial and error way. By high-throughput ab initio calculations with experiments, the present work identified Scandium, Yttrium and Mercury as the optimal dopants for Sb2Te3 to reduce the power consumption of Sb2Te3-based PCM. Using Sc as an example the doping effect on the structure and property of Sb2Te3 has been extensively investigated. The band gap of Sb2Te3 linearly increases with increasing the Sc concentration by ab initio calculations, and our experimental results confirm the theoretical findings. Furthermore, based on the semi-classical Boltzmann transport theory, Sc can significantly decrease the electrical conductivity and thermal conductivity of Sb2Te3, and therefore reduced energy consumption of Sb2Te3-based PCM is expected. Finally, the ab initio molecular dynamics simulations demonstrate that Scandium can significantly improve the thermal stability of amorphous Sc-doped Sb2Te3, and hence the enhanced data reliability of Sb2Te3-based PCM. The present work provides fundamentals for fast screening optimal dopants to enhance the overall performance of Sb2Te3 for PCM, and the present method can be extended to other semiconductor materials.",
A_new_method_for_an_old_topic:_Efficient_and_reliable_estimation_of_material_bulk_modulus,Peng Wang,Yi Qin,"Peng Wang,Zhimei Sun","Peng Wang,Yi Qin,Ming Cheng,Guanjie Wang,Dongbin Xiu,Zhimei Sun",COMPUTATIONAL MATERIALS SCIENCE,Q2,2.644,165,-,7-12,2019,ELSEVIER SCIENCE BV,https://doi.org/10.1016/j.commatsci.2019.04.022,2019cms-wangpeng.pdf,2019cms-wangpeng.jpg,"Bulk modulus is a key material property which provides fundamentals on the chemical bonding nature of a material as well as for deriving other related material properties, such as Young's modulus and Gruneinsen constant. Traditional numerical methods of estimating bulk modulus often involve layers of approximations and cost considerably. In this work, we propose a novel and efficient numerical framework to estimate bulk modulus using the ab initio calculated data. Based on the generalized polynomial chaos expansion (gPC) method, our approach does not impose any physical priori and is mathematically rigorous and versatile. We have demonstrated the reliability and efficiency of the proposed method by estimating the bulk modulus of Ti3SiC2 and Sb2Te3 with comparison to conventional methods.",
